number,name,link,author 1,author 2,year,1star_vote,2star_vote,3star_vote,4star_vote,5star_vote,average
1,Asterix the Gaul,http://goodreads.com/book/show/71292.Asterix_the_Gaul?from_search=true&from_srp=true&qid=x4kAEwfoBH&rank=1,René Goscinny,Albert Uderzo,1960,385,711,3938,7788,10477,4.1700502167475
10,Asterix the Legionary,http://goodreads.com/book/show/122418.Asterix_the_Legionary?from_search=true&from_srp=true&qid=x4kAEwfoBH&rank=2,René Goscinny,Albert Uderzo,1966,18,113,1174,2684,3708,4.292841366766273
8,Asterix in Britain,http://goodreads.com/book/show/71299.Asterix_in_Britain?from_search=true&from_srp=true&qid=x4kAEwfoBH&rank=3,René Goscinny,Albert Uderzo,1965,21,125,1339,3146,4078,4.278562406705706
6,Asterix and Cleopatra,http://goodreads.com/book/show/122410.Asterix_and_Cleopatra?from_search=true&from_srp=true&qid=x4kAEwfoBH&rank=4,René Goscinny,Albert Uderzo,1965,21,167,1415,3620,4833,4.300417661097852
19,Asterix and the Soothsayer,http://goodreads.com/book/show/71300.Asterix_and_the_Soothsayer?from_search=true&from_srp=true&qid=x4kAEwfoBH&rank=5,René Goscinny,Albert Uderzo,1972,19,169,1097,2043,2132,4.117216117216117
2,Asterix and the Golden Sickle,http://goodreads.com/book/show/122439.Asterix_and_the_Golden_Sickle?from_search=true&from_srp=true&qid=x4kAEwfoBH&rank=6,René Goscinny,Albert Uderzo,1960,15,202,1692,3363,3300,4.135207652823145
12,Asterix at the Olympic Games,http://goodreads.com/book/show/71298.Asterix_at_the_Olympic_Games?from_search=true&from_srp=true&qid=x4kAEwfoBH&rank=7,René Goscinny,Albert Uderzo,1968,27,196,1422,2706,2926,4.141679263432733
3,Asterix and the Goths,http://goodreads.com/book/show/122408.Asterix_and_the_Goths?from_search=true&from_srp=true&qid=x4kAEwfoBH&rank=8,René Goscinny,Albert Uderzo,1961,42,192,1673,3248,3390,4.141252194265652
23,Obelix and Co.,http://goodreads.com/book/show/71301.Obelix_and_Co_?from_search=true&from_srp=true&qid=x4kAEwfoBH&rank=9,René Goscinny,Albert Uderzo,1976,17,174,971,1893,2009,4.126184834123222
11,Asterix and the Chieftain's Shield,http://goodreads.com/book/show/122403.Asterix_and_the_Chieftain_s_Shield?from_search=true&from_srp=true&qid=x4kAEwfoBH&rank=10,René Goscinny,Albert Uderzo,1967,11,104,1124,2185,2233,4.153438218136822
4,Asterix the Gladiator,http://goodreads.com/book/show/122401.Asterix_the_Gladiator?from_search=true&from_srp=true&qid=x4kAEwfoBH&rank=11,René Goscinny,Albert Uderzo,1962,14,130,1380,2995,3247,4.201519443729075
17,The Mansions of the Gods,http://goodreads.com/book/show/71296.The_Mansions_of_the_Gods?from_search=true&from_srp=true&qid=x4kAEwfoBH&rank=12,René Goscinny,Albert Uderzo,1971,13,105,942,1937,2170,4.189471646990516
22,Asterix and the Great Crossing,http://goodreads.com/book/show/71293.Asterix_and_the_Great_Crossing?from_search=true&from_srp=true&qid=x4kAEwfoBH&rank=13,René Goscinny,Albert Uderzo,1975,17,190,1140,1828,1640,4.014330218068536
5,Asterix and the Banquet,http://goodreads.com/book/show/122421.Asterix_and_the_Banquet?from_search=true&from_srp=true&qid=x4kAEwfoBH&rank=14,René Goscinny,Albert Uderzo,1963,21,119,1150,2259,2351,4.1525423728813555
24,Asterix in Belgium,http://goodreads.com/book/show/81332.Asterix_in_Belgium?from_search=true&from_srp=true&qid=x4kAEwfoBH&rank=15,René Goscinny,Albert Uderzo,1979,18,173,1164,2145,1996,4.078602620087336
